tweets,classes
"Tive que desativar o negócio do sono da mi band 4. O bagulho tava me deixando meu doido já, nem",negativo
"RT @cachorro_frio: @fernandobentto cara, jura? com o preço que tu comprou dava pra ter pego um xiaomi mi 9, um mi band 4, uma caixa jbl ult…",negativo
"@FelipeDuarte151 Tenho a mi band 3, mas acho a 4 mais legal por conta que a tela é colorida",positivo
"To vendendo minha pulseira mi band 4(relógio)😉",neutro
"mi band 4 na internet = 160 reais 
mi band 3 em ji-parana = 260 reais 
kkkkkpiada",neutro
"Ganhei um mi band 4 😍 ah meu Deus",positivo
"a vontade de comprar o mi Band 4 tá gigantesca, sorte que eu não tenho cartão de crédito se não eu faria uma besteira",positivo
"@XiaomiBrasil será que tem como você parar de me tentar com esse tal de mi Band 4 ?!?!",neutro
"Eu só queria saber se a mi band 4 tem boa resistência quanto arranhão e tal, pq n achei em ligar nenhum sobre isso… https://t.co/69O6rulsN4",negativo
"alguem me da uma xiaomi mi band 4 de presente",positivo
"Minha próxima compra vai ser um mi band 4",positivo
"@buzsheep Ficou muito bom na mi band 4 😍 https://t.co/Xj5xvAbvpr",positivo
"mi band 4 qualquer coisa no mundo&gt;&gt;&gt;&gt;&gt;&gt;&gt;",neutro
"tô portado de xiaomi, mi band 4 em mãos 🤪",neutro
"Certo, eu admito, estou viciado nos produtos da Xaomi. Vou comprar o Mi Band 4, Xiaomi Mi 8 Lite e o Redmi Airdots… https://t.co/A63wIk9Jy1",positivo
"@mizanzika Já viu esse site que tem vários temas diferentes? https://t.co/QFch8ry06g",neutro
"Comprar ou não comprar o Mi band 4, que dúvidaaa",neutro
"@matheuskise Peguei agora a Mi Band 4, mas queria, mais pra frente um watch com Wear OS Google. A "promessa" é uma… https://t.co/bkpvriY6m0",neutro
"Minha mi band 4 chegoooou",positivo
"Minha mi band 4 chegou, tô muito realizada porém não sei mexer kkkkkkkkkkkkkkkkk",positivo
"Eu ainda posso levar sorte do estorno do meu cartão cair por esses dias, né... Já que a RFB fez questão de ferrar c… https://t.co/neb85ND9FN",negativo
"Comprei minha Mi Band 4 ♥️♥️♥️♥️♥️♥️",positivo
"Pulseira inteligente mi Band 4, original, possui garantia de 90 dias contra defeito de fábrica. 
.
📍 Sorocaba Shopp… https://t.co/eMDngdhLV0",neutro
"eu preciso de uma mi band 4? não 
tenho dinheiro disponível pra comprar? não 
vou comprar uma mi band 4? simm",negativo
"Parabéns pra mim, que perdi o carregador da minha mi Band 4",neutro
"@kLedaum se comprar o mi9, compre o MI BAND 4 tambem, vale a pena pra caralho!!!!",positivo
"Smartband Xiaomi Mi Band 4 (Global) #Banggood

R$ 117.14 (USD $27.00)
O Preço é Igual ao Menor Registrado! (USD)
→… https://t.co/gg36JwEpuJ",neutro
"trabalhar pra comprar o mi band 4",positivo
"@WNarz Eu tenho um Mi A2, uma mi Band 4 e um airdots (branco). Sou 100% xiaominion",positivo
"@XiaomiBrasil quando sai mi band 4 no Brasil???",neutro
"FRETE PRIORITÁRIO GRÁTIS! (ePacket)
Smartband Xiaomi Mi Band 4 (Global) #Gearbest

R$ 118.81 (USD $27.00)
O Preço é… https://t.co/B6I4Unvvlr",neutro
"To amando a mi band 4 mas to bem tentada a ter uma honor band tbm.",positivo
"@dengocaetano AAAAA, a 4 é muito boa!!!! eu tenho a mi band 3, comprei antes e logo dps saiu a 4 kkkkk mas tô feliz… https://t.co/IqhFlYGnlX",positivo
"@startupdareal Manda uma Mi Band 4, Star, a gente faz uma watchface pra você 😊 https://t.co/2liPksB0Uw",neutro
"comprei o smartwatch mi band 4 da xiaomi... cara, o negócio é até eficiente. de primeira achei q ia ser uma coisa i… https://t.co/gvM7etovIm",positivo
"Que demoraaa, meu mi band 4 saiu p entrega 8:43 da manha e n chegou em casa até agora",negativo
"RT @clubedeofertas_: FRETE PRIORITÁRIO GRÁTIS! (ePacket)
Smartband Xiaomi Mi Band 4 (Global) #Gearbest

R$ 118.81 (USD $27.00)
O Preço é Ig…",neutro
"Minha mi band 4 chegou hoje e eu já quebrei",negativo
"RT @TyoLucas: Que demoraaa, meu mi band 4 saiu p entrega 8:43 da manha e n chegou em casa até agora",negativo
"@aleekiz sim, e tá barato.. a mi band 4 é a melhor custo benefício do mercado porem vale mais a pena comprar pela g… https://t.co/ra8XoUT3xP",positivo
"a mi band 4 tá muito boa, mas esse tão mais bonito não resisti",negativo
"FRETE PRIORITÁRIO GRÁTIS! (ePacket)
Smartband Xiaomi Mi Band 4 CN #Gearbest

R$ 106.93 (USD $24.30)
→ Cupom: GBXMSH… https://t.co/ZfHJNd5QE7",neutro
"xiaomers vcs que têm mi band (sei que estão ai) têm o 3 ou 4? eu quero o 3 não só por ser mais barato mas pq as let… https://t.co/wHrvzCHPBi",neutro
"algm ai tem xiaomi mi band e quer me dizer se vale a pena comprar a 4",neutro
"@pt_ee to em duvida entre o mi band 4 e o amazfit",neutro
"@ribeiro6gabriel kkkkkk tá quase virando uma mi band 4",neutro
"Acabei de comprar a mi band 4 é já tô de olho em smartwatch que n tem nem necessidade, mas meu lado consumista tá gritando",negativo
"Impressionante como essa bateria dura. 
Vou fazer Review Mi Band 4. https://t.co/cmmA1f7zeR",positivo
"Quem é Apple Watch perto da minha mi band 4 que tá a 7 dias longe da tomada e com 46% de bateria",positivo
"Comprei o mi band 4, to mt feliz",positivo
"A minha mi band 4 não conecta com o meu iPhone @XiaomiBrasil",negativo
"Ganhei um mi band 4 de presente",positivo
"Minha mi band 4 vai chegar essa semana ainda ahhhh",positivo
"Meu bb novo! Mi band 4! https://t.co/HIrj3xOfNE",positivo
"@alInightlovato É uma pulseira inteligente mo, mi band 4 da xiaomi",neutro
"@pablodom_mello eu tenho a mi band 2 e gosto bastante
assim que possível quero fazer o upgrade pra mi band 4

algun… https://t.co/ZIvIs8HrGV",positivo
"@LohanSouzab Eu já comprei a Mi Band 4 e o Redmi Airdots, kkkk",neutro
"Ah é mi Band 4 ✔️ (que ainda não chegou)",neutro
"Eu só queria ter uma mi band 4 pra usar essa pulseira de miçanga https://t.co/EFsTAAk2Uj",positivo
"Amando Mi Band 4 🥰♥️
Ainda mais com esse protetor de tela do Mario. 

#Miband 
#Miband4 
#MarioBros 
#Nintendo… https://t.co/xbofSFSzNC",positivo
"Roteador Inteligente Xiaomi Mi Router 4 Dual Band AC1200 (Gigabit 1000Mbps) #Banggood

R$ 143.06 (USD $32.99)
Bom P… https://t.co/82mxLAYGrF",neutro
"e hoje que do nada eu comprei uma mi band 4 DO NADA, e o pior?! não sei como vou pagar D:",negativo
"Só uma atualização da Mi Band 4 para BR-pt",negativo
"@NannHwa os relogios da xiaomi sao baratos pra uma porra. da até pra pegar o mi band 4",positivo
"Eu querendo comprar 528527273 pulseiras pro mi band 4 que eu ganhei 
Sendo que eu sei que eu só vou usar a preta kekekekek",neutro
"Comprei meu mi Band 4 🤩",positivo
"meu bday tá chegando e hoje resolvi me auto presentear com uma mi Band 4 

amo (????",positivo
"Vi um mi band 4 baratinho na wish, comprei, paguei e agr to revendo o anuncio e achando que é só a pulseira. Mds eu… https://t.co/eVs0GSXNeG",neutro
"RT @notearstodanger: Suponha que você namore
Seu/sua namoradx tem desejo de ganhar duas coisas. Uma aliança, e um Mi band 4 (smartwatch). Q…",neutro
"@gabzaoo No iPhone vc precisa ter o AmazTools
Ai vc baixa os ~papéis de parede pelo https://t.co/bdbw00K9Tm 
Vc sal… https://t.co/fVnP6EijqS",neutro
"A mão tá coçando pra comprar uma MI Band 4 Xaomi  :(",positivo
"A mina é baba ovo da Xiaomi. Fala que a Apple é um lixo enorme, que nada a Apple presta. Fala mal da Apple no Faceb… https://t.co/xYwuwTAzBR",neutro
"Comprar uma mi Band 4 e o redmi airdots
Ou a mi Band 3 e um QCY QS2?",neutro
"@zulununess @hastadlol To com 1 da xioami (mi band 4) é boa. Mas um desse ai ia ficar monstro dms :3 kkkk",positivo
"O @xablovsk está ouvindo música pelo seu xiaomi airdots, através do aplicativo Spotify em seu Xiaomi Mi9 e controla… https://t.co/WA8NrY744d",neutro
"@Lucas28Lk @XiaomiBrasil Lucas, dá uma olhadinha nesses modelos aqui, que separamos para você: … https://t.co/Rbspe162s1",neutro
"Comprei uma Mi Band 4 e o pouco de favela que restava em mim vai se esvaindo cada dia mais, já tô vendo o dia em qu… https://t.co/fzgQtpIBOR",positivo
"Minha Mi Band 4 tá chegando!!! 🙏",positivo
"Alguém me dá mi Band 4 de dia das crianças por favor",positivo
"Tô me sentindo um velhote com meu Mi Band 4 que comprei, sei nem para onde ir para configurar tudo aqui :(",neutro
"#Gearbest Mi Band 4 #Xiaomi Bom preço, segue link: https://t.co/QP1o10pODP",positivo
"Amigos da TL, alguém tem a pulseira Xiaomi Mi band 4? Se sim, é valida a compra?",neutro
"@TechTudo Por qual motivo eu compraria a Mi Band 3 se já tem a Mi Band 4 por R$ 169,90 na Amazon?",neutro
"Vender mi band 4 pra galera colar na hora da prova kkkkkkkkkkkkk https://t.co/bFovtwoXrk",neutro
"@magazineluiza Lu faz promocao do mi band 4, pfv",neutro
"Minha mi band 4  chegouuuuu",positivo
