created_at,id_str,text
Tue Sep 10 13:52:02 +0000 2019,1171421071708426240,"ADEUS NETFLIX COM SEU CATALOGO DE FILMES LIXOSO"
Tue Sep 10 13:52:04 +0000 2019,1171421083322527744,"Eu já tinha o Prime Video, alterei pra assinatura do Prime que vai sair mais barata e com muito mais benefícios e o… https://t.co/xkhWbqnt70"
Tue Sep 10 13:52:04 +0000 2019,1171421083620249601,"RT @HLTCO: Sky Sports minimum cost: £40 per month

BT Sport minimum cost: £30 pm

Premier Sports cost: £11.99 pm

Amazon Prime cost: £7.99…"
Tue Sep 10 13:52:06 +0000 2019,1171421088389062659,"RT @bonjurliana: indo assinar o amazon prime https://t.co/wTWS36Wvoa"
Tue Sep 10 13:52:08 +0000 2019,1171421096631046144,"Amazon prime por 10 conto com o prime vídeo, twitch prime e o serviço de música era tudo que eu precisava"
Tue Sep 10 13:52:08 +0000 2019,1171421099722252288,"RT @milapellicer: Sobre o Amazon Prime no BR: 
- o valor tá lindo
- o serviço é ótimo 
- o catálogo de filmes é recheado, as séries exclusi…"
Tue Sep 10 13:52:09 +0000 2019,1171421101424988160,"RT @TOEI_PR: 君のヒーローは誰だ！？

50～90年代の懐かしの特撮作品を提供する「マイ★ヒーロー」がAmazon Prime Videoチャンネルにて本日よりサービス開始🌟
#仮面ライダー #スーパー戦隊 メタルヒーロー、ロボットアニメなどを見放題でお楽しみくださ…"
Tue Sep 10 13:52:09 +0000 2019,1171421102100373505,"RT @HLTCO: Sky Sports minimum cost: £40 per month

BT Sport minimum cost: £30 pm

Premier Sports cost: £11.99 pm

Amazon Prime cost: £7.99…"
Tue Sep 10 13:52:10 +0000 2019,1171421105069920256,"Amazon Prime chegou pra acabar com aquele discurso da Dilma de transformar os Correios na Amazon

Amazon tá muito melhor!"
Tue Sep 10 13:52:11 +0000 2019,1171421111936069633,"Obrigado capitalismo opressor"
